Catalog	Vendor	Reel Length	Description	Wire Type
4TRIPLEX1500	ALU	1500	TRIPLEX PERIWINKLE 4 AWG 3C 1500'	URD
4TRIPLEX500	ALU	500	TRIPLEX PERIWINKLE 4 AWG 3C 500'	URD
6TRIPLEX500	ALU	500	TRIPLEX VOLUTA 6 AWG 3C 500'	URD
MHF40402041000	ALU	1000	MHF (MOBILE HOME FEEDER) 4/0 AWG 2C 2/0 AWG 4 AWG WITH GROUND 1000'	MHF
SER13WG1000	ALU	1000	SER (SERVICE ENTRANCE CABLE) 1 AWG 3C 3 AWG WITH GROUND 1000'	SER
SER20WG1000	ALU	1000	SER (SERVICE ENTRANCE CABLE) 2/0 AWG 3C 1 AWG WITH GROUND 1000'	SER
SER22241000	ALU	1000	SER (SERVICE ENTRANCE CABLE) 2 AWG 3C 4 AWG WITH GROUND 1000'	SER
SER401000	ALU	1000	SER (SERVICE ENTRANCE CABLE) 4/0 AWG 3C 2/0 AWG WITH GROUND 1000'	SER
THHN1GN2500	ALU	2500	THHN 1 AWG STR GREEN 2500'	THHN
THHN400BR2500	ALU	2500	THHN 400 KCMIL STR BROWN 2500'	THHN
URD101000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) BRENAU 1/0 AWG 1000'	URD
URD201000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) CONVERSE 2/0 AWG 1000'	URD
URD21000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) STEPHENS 2 AWG 2C 4 AWG 1000'	URD
URD22241000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) DYKE 2 AWG 3C 4 AWG 1000'	URD
URD2501000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) PRATT 250 KCMIL 1000'	URD
URD401000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) SWEETBRIAR 4/0 AWG 1000'	URD
URD4040401000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) MONMOUTH 4/0 AWG 3C 1000'	URD
URD41000	ALU	1000	URD (UNDERGROUND DISTRIBUTION CABLE) VASSAR 4 AWG 1000'	URD
XHHW10BK5000	ALU	5000	XHHW 1/0 AWG STR BLACK 5000'	XHHW
XHHW1BK5000	ALU	5000	XHHW 1 AWG STR BLACK 5000'	XHHW
XHHW1GN2500	ALU	2500	XHHW 1 AWG STR GREEN 2500'	XHHW
XHHW20BK1000	ALU	1000	XHHW 2/0 AWG STR BLACK 1000'	XHHW
XHHW2500R2500	ALU	2500	XHHW 250 KCMIL STR ORANGE 2500'	XHHW
XHHW250BK1000	ALU	1000	XHHW 250 KCMIL STR BLACK 1000'	XHHW
XHHW250BK2500	ALU	2500	XHHW 250 KCMIL STR BLACK 2500'	XHHW
XHHW250BK5000	ALU	5000	XHHW 250 KCMIL STR BLACK 5000'	XHHW
XHHW250GN2500	ALU	2500	XHHW 250 KCMIL STR GREEN 2500'	XHHW
XHHW2BK5000	ALU	5000	XHHW 2 AWG STR BLACK 5000'	XHHW
XHHW300BK2500	ALU	2500	XHHW 300 KCMIL STR BLACK 2500'	XHHW
XHHW300BL2500	ALU	2500	XHHW 300 KCMIL STR BLUE 2500'	XHHW
XHHW300BR2500	ALU	2500	XHHW 300 KCMIL STR BROWN 2500'	XHHW
XHHW300GY2500	ALU	2500	XHHW 300 KCMIL STR GRAY 2500'	XHHW
XHHW300RD2500	ALU	2500	XHHW 300 KCMIL STR RED 2500'	XHHW
XHHW300WH2500	ALU	2500	XHHW 300 KCMIL STR WHITE 2500'	XHHW
XHHW30GN2500	ALU	2500	XHHW 3/0 AWG STR GREEN 2500'	XHHW
XHHW350BK1000	ALU	1000	XHHW 350 KCMIL STR BLACK 1000'	XHHW
XHHW350BK2500	ALU	2500	XHHW 350 KCMIL STR BLACK 2500'	XHHW
XHHW400GY2500	ALU	2500	XHHW 400 KCMIL STR GRAY 2500'	XHHW
XHHW40BK1000	ALU	1000	XHHW 4/0 AWG STR BLACK 1000'	XHHW
XHHW500BK1000	ALU	1000	XHHW 500 KCMIL STR BLACK 1000'	XHHW
XHHW500BK2500	ALU	2500	XHHW 500 KCMIL STR BLACK 2500'	XHHW
